a,b,c,d,e,f
bootstrap,,bootstrap,"['boot', 'strap', 'boots', 'trap']",boot strap boots trap,boot strap boots trap
bor,bor,,,,bor
border,border,,,,border
bore,bore,,,,bore
boreali,,boreali,"['bore', 'ali', 'boreal', 'i']",bore ali boreal i,bore ali boreal i
boresight,,boresight,"['bore', 'sight']",bore sight,bore sight
boric,boric,,,,boric
born,born,,,,born
borniefeld,,borniefeld,['borniefeld'],borniefeld,borniefeld
bornstein,,bornstein,"['born', 'stein']",born stein,born stein
borocarbon,,borocarbon,['borocarbon'],borocarbon,borocarbon
borodovskaya,,borodovskaya,['borodovskaya'],borodovskaya,borodovskaya
boron,boron,,,,boron
boroncarbon,,boroncarbon,"['boron', 'carbon']",boron carbon,boron carbon
borosil,,borosil,['borosil'],borosil,borosil
bose,bose,,,,bose
boson,boson,,,,boson
boss,boss,,,,boss
bosson,bosson,,,,bosson
both,both,,,,both
bott,bott,,,,bott
bottleneck,,bottleneck,"['bottle', 'neck']",bottle neck,bottle neck
bottom,bottom,,,,bottom
boulder,,boulder,['boulder'],boulder,boulder
boulloud,,boulloud,['boulloud'],boulloud,boulloud
bounc,bounc,,,,bounc
bound,bound,,,,bound
boundari,,boundari,['boundari'],boundari,boundari
bouwkamp,,bouwkamp,['bouwkamp'],bouwkamp,bouwkamp
box,box,,,,box
boxcar,boxcar,,,,boxcar
bq,bq,,,,bq
br,br,,,,br
bradburi,,bradburi,['bradburi'],bradburi,bradburi
braffort,,braffort,['braffort'],braffort,braffort
brahe,brahe,,,,brahe
brain,brain,,,,brain
bramlei,,bramlei,"['bram', 'lei']",bram lei,bram lei
branch,branch,,,,branch
branwood,,branwood,"['bran', 'wood']",bran wood,bran wood
brass,brass,,,,brass
bratislava,,bratislava,['bratislava'],bratislava,bratislava
braunbek,,braunbek,['braunbek'],braunbek,braunbek
breadth,,breadth,['breadth'],breadth,breadth
break,break,,,,break
breakdown,,breakdown,"['break', 'down']",break down,break down
breaker,,breaker,"['break', 'er']",break er,break er
breakpoint,,breakpoint,"['break', 'point']",break point,break point
breakup,,breakup,"['break', 'up']",break up,break up
breckenridg,,breckenridg,['breckenridg'],breckenridg,breckenridg
breisach,,breisach,['breisach'],breisach,breisach
bremmer,,bremmer,['bremmer'],bremmer,bremmer
bremsstrahlung,,bremsstrahlung,['bremsstrahlung'],bremsstrahlung,bremsstrahlung
brewster,,brewster,['brewster'],brewster,brewster
brick,brick,,,,brick
bridg,bridg,,,,bridg
brief,brief,,,,brief
briefli,,briefli,"['brief', 'li']",brief li,brief li
brigg,brigg,,,,brigg
bright,bright,,,,bright
brighten,,brighten,"['b', 'righten', 'bright', 'en']",b righten bright en,b righten bright en
brighter,,brighter,"['b', 'righter', 'bright', 'er']",b righter bright er,b righter bright er
brillianc,,brillianc,['brillianc'],brillianc,brillianc
brillouin,,brillouin,['brillouin'],brillouin,brillouin
briner,briner,,,,briner
bring,bring,,,,bring
bringelli,,bringelli,['bringelli'],bringelli,bringelli
brisban,,brisban,['brisban'],brisban,brisban
britain,,britain,"['brit', 'ain']",brit ain,brit ain
british,,british,"['brit', 'ish']",brit ish,brit ish
broad,broad,,,,broad
broadband,,broadband,"['broad', 'band']",broad band,broad band
broadcast,,broadcast,"['broad', 'cast']",broad cast,broad cast
broaden,,broaden,"['bro', 'aden', 'broad', 'en']",bro aden broad en,bro aden broad en
broadsid,,broadsid,"['broad', 'sid', 'broads', 'id']",broad sid broads id,broad sid broads id
brockelsbi,,brockelsbi,['brockelsbi'],brockelsbi,brockelsbi
broken,broken,,,,broken
bromid,bromid,,,,bromid
bromin,bromin,,,,bromin
bromo,bromo,,,,bromo
bromobenzen,,bromobenzen,['bromobenzen'],bromobenzen,bromobenzen
broomal,,broomal,"['broo', 'mal', 'broom', 'al']",broo mal broom al,broo mal broom al
brophi,brophi,,,,brophi
brought,,brought,"['b', 'rought', 'brough', 't']",b rought brough t,b rought brough t
brouwer,,brouwer,['brouwer'],brouwer,brouwer
brown,brown,,,,brown
brownian,,brownian,"['brown', 'ian']",brown ian,brown ian
bruce,bruce,,,,bruce
bruggenc,,bruggenc,['bruggenc'],bruggenc,bruggenc
brune,brune,,,,brune
brush,brush,,,,brush
brussel,,brussel,"['b', 'russel']",b russel,b russel
bt,bt,,,,bt
bu,bu,,,,bu
buaer,buaer,,,,buaer
bubben,bubben,,,,bubben
buchanan,,buchanan,"['buchan', 'an']",buchan an,buchan an
buchholz,,buchholz,['buchholz'],buchholz,buchholz
budden,budden,,,,budden
bueno,bueno,,,,bueno
buffalo,,buffalo,"['buffa', 'lo']",buffa lo,buffa lo
buffer,buffer,,,,buffer
build,build,,,,build
built,built,,,,built
bulb,bulb,,,,bulb
bulg,bulg,,,,bulg
bulk,bulk,,,,bulk
bull,bull,,,,bull
bulletin,,bulletin,"['bullet', 'in']",bullet in,bullet in
bullough,,bullough,['bullough'],bullough,bullough
bunch,bunch,,,,bunch
bunemann,,bunemann,['bunemann'],bunemann,bunemann
bungalor,,bungalor,['bungalor'],bungalor,bungalor
bur,bur,,,,bur
bureau,bureau,,,,bureau
burgess,,burgess,"['burg', 'ess']",burg ess,burg ess
burghead,,burghead,"['burg', 'head']",burg head,burg head
burk,burk,,,,burk
burn,burn,,,,burn
burnout,,burnout,"['burn', 'out']",burn out,burn out
burst,burst,,,,burst
burton,burton,,,,burton
busi,busi,,,,busi
businessman,,businessman,"['business', 'man']",business man,business man
butt,butt,,,,butt
butterworth,,butterworth,"['butter', 'worth', 'butterwort', 'h']",butter worth butterwort h,butter worth butterwort h
button,button,,,,button
bx,bx,,,,bx
bya,bya,,,,bya
byllough,,byllough,['byllough'],byllough,byllough
bypass,bypass,,,,bypass
byrd,byrd,,,,byrd
byrn,byrn,,,,byrn
byt,byt,,,,byt
byurakan,,byurakan,['byurakan'],byurakan,byurakan
ca,ca,,,,ca
cabl,cabl,,,,cabl
cac,cac,,,,cac
cactu,cactu,,,,cactu
cadmium,,cadmium,['cadmium'],cadmium,cadmium
cael,cael,,,,cael
caesium,,caesium,['caesium'],caesium,caesium
cage,cage,,,,cage
cai,cai,,,,cai
caicuit,,caicuit,['caicuit'],caicuit,caicuit
cal,cal,,,,cal
calcium,,calcium,['calcium'],calcium,calcium
calcul,calcul,,,,calcul
calculu,,calculu,['calculu'],calculu,calculu
calcuotenti,,calcuotenti,['calcuotenti'],calcuotenti,calcuotenti
calcutta,,calcutta,['calcutta'],calcutta,calcutta
calendar,,calendar,['calendar'],calendar,calendar
calibr,calibr,,,,calibr
calif,calif,,,,calif
california,,california,['california'],california,california
call,call,,,,call
callahan,,callahan,"['calla', 'han']",calla han,calla han
calm,calm,,,,calm
calomel,,calomel,['calomel'],calomel,calomel
cam,cam,,,,cam
cambridg,,cambridg,['cambridg'],cambridg,cambridg
camden,camden,,,,camden
came,came,,,,came
camera,camera,,,,camera
campbel,,campbel,"['camp', 'bel']",camp bel,camp bel
can,can,,,,can
canada,canada,,,,canada
canadian,,canadian,['canadian'],canadian,canadian
canberra,,canberra,['canberra'],canberra,canberra
cancel,cancel,,,,cancel
canon,canon,,,,canon
canot,canot,,,,canot
caoter,caoter,,,,caoter
cap,cap,,,,cap
capabl,capabl,,,,capabl
capac,capac,,,,capac
capacit,,capacit,"['capa', 'cit']",capa cit,capa cit
capacitor,,capacitor,['capacitor'],capacitor,capacitor
cape,cape,,,,cape
capetown,,capetown,"['cape', 'town', 'capet', 'own']",cape town capet own,cape town capet own
capillari,,capillari,['capillari'],capillari,capillari
capsul,capsul,,,,capsul
captiv,captiv,,,,captiv
captor,captor,,,,captor
captur,captur,,,,captur
car,car,,,,car
carbid,carbid,,,,carbid
carbohydr,,carbohydr,['carbohydr'],carbohydr,carbohydr
carbon,carbon,,,,carbon
carbonyl,,carbonyl,['carbonyl'],carbonyl,carbonyl
carcinotron,,carcinotron,['carcinotron'],carcinotron,carcinotron
card,card,,,,card
care,care,,,,care
carefulli,,carefulli,"['careful', 'li']",careful li,careful li
careless,,careless,"['care', 'less']",care less,care less
cari,cari,,,,cari
cariat,cariat,,,,cariat
caribbean,,caribbean,"['carib', 'bean']",carib bean,carib bean
carina,carina,,,,carina
cariou,cariou,,,,cariou
carnauba,,carnauba,['carnauba'],carnauba,carnauba
carnot,carnot,,,,carnot
carpet,carpet,,,,carpet
carri,carri,,,,carri
carrier,,carrier,"['carrie', 'r']",carrie r,carrie r
carryii,,carryii,"['carry', 'ii']",carry ii,carry ii
cartesian,,cartesian,"['c', 'artesian', 'carte', 'sian', 'cartes', 'ian']",c artesian carte sian cartes ian,c artesian carte sian cartes ian
cartwright,,cartwright,"['cart', 'wright']",cart wright,cart wright
carv,carv,,,,carv
casablanca,,casablanca,['casablanca'],casablanca,casablanca
cascad,cascad,,,,cascad
cascod,cascod,,,,cascod
case,case,,,,case
cassiopeia,,cassiopeia,['cassiopeia'],cassiopeia,cassiopeia
cast,cast,,,,cast
cat,cat,,,,cat
catalogu,,catalogu,"['catalo', 'gu', 'catalog', 'u']",catalo gu catalog u,catalo gu catalog u
catalyt,,catalyt,['catalyt'],catalyt,catalyt
catch,catch,,,,catch
catenari,,catenari,"['catena', 'ri']",catena ri,catena ri
cater,cater,,,,cater
cathod,cathod,,,,cathod
cathoguard,,cathoguard,['cathoguard'],cathoguard,cathoguard
cation,cation,,,,cation
caton,caton,,,,caton
caucer,caucer,,,,caucer
cauchi,cauchi,,,,cauchi
cauer,cauer,,,,cauer
caus,caus,,,,caus
caustic,,caustic,['caustic'],caustic,caustic
cavendish,,cavendish,['cavendish'],cavendish,cavendish
caviti,caviti,,,,caviti
caylei,caylei,,,,caylei
ccir,ccir,,,,ccir
ccur,ccur,,,,ccur
cd,cd,,,,cd
cdecod,cdecod,,,,cdecod
cdse,cdse,,,,cdse
ce,ce,,,,ce
ceas,ceas,,,,ceas
ced,ced,,,,ced
cedar,cedar,,,,cedar
cede,cede,,,,cede
ceil,ceil,,,,ceil
celar,celar,,,,celar
celesti,,celesti,['celesti'],celesti,celesti
cell,cell,,,,cell
cellular,,cellular,['cellular'],cellular,cellular
celoscop,,celoscop,['celoscop'],celoscop,celoscop
ceniss,ceniss,,,,ceniss
cent,cent,,,,cent
centauru,,centauru,"['centaur', 'u']",centaur u,centaur u
centenari,,centenari,['centenari'],centenari,centenari
center,center,,,,center
centimet,,centimet,"['centime', 't']",centime t,centime t
centimetr,,centimetr,['centimetr'],centimetr,centimetr
centr,centr,,,,centr
central,,central,['central'],central,central
centrifug,,centrifug,['centrifug'],centrifug,centrifug
centroid,,centroid,['centroid'],centroid,centroid
centuri,,centuri,"['cent', 'uri']",cent uri,cent uri
ceram,ceram,,,,ceram
cerem,cerem,,,,cerem
cerendov,,cerendov,['cerendov'],cerendov,cerendov
cerenkov,,cerenkov,['cerenkov'],cerenkov,cerenkov
certainli,,certainli,"['certain', 'li']",certain li,certain li
certainti,,certainti,"['certain', 'ti']",certain ti,certain ti
cesium,cesium,,,,cesium
cessat,cessat,,,,cessat
ceylon,ceylon,,,,ceylon
chain,chain,,,,chain
chakrabarti,,chakrabarti,['chakrabarti'],chakrabarti,chakrabarti
chalmer,,chalmer,"['chal', 'mer']",chal mer,chal mer
chamber,,chamber,"['ch', 'amber']",ch amber,ch amber
chameleon,,chameleon,['chameleon'],chameleon,chameleon
chanc,chanc,,,,chanc
chand,chand,,,,chand
chandrasekhar,,chandrasekhar,['chandrasekhar'],chandrasekhar,chandrasekhar
chang,chang,,,,chang
changer,,changer,"['c', 'hanger', 'ch', 'anger', 'change', 'r']",c hanger ch anger change r,c hanger ch anger change r
channel,,channel,['channel'],channel,channel
chapman,,chapman,"['chap', 'man']",chap man,chap man
chapter,,chapter,"['ch', 'apter']",ch apter,ch apter
charact,,charact,"['char', 'act']",char act,char act
character,,character,"['char', 'acter']",char acter,char acter
characterist,,characterist,['characterist'],characterist,characterist
charg,charg,,,,charg
charlier,,charlier,"['char', 'lier', 'charlie', 'r']",char lier charlie r,char lier charlie r
chart,chart,,,,chart
chassi,chassi,,,,chassi
chatterje,,chatterje,"['chatter', 'je']",chatter je,chatter je
cheap,cheap,,,,cheap
cheaper,,cheaper,"['cheap', 'er']",cheap er,cheap er
chebychev,,chebychev,['chebychev'],chebychev,chebychev
chebyshev,,chebyshev,['chebyshev'],chebyshev,chebyshev
check,check,,,,check
chelmsford,,chelmsford,['chelmsford'],chelmsford,chelmsford
cheltenham,,cheltenham,['cheltenham'],cheltenham,cheltenham
chemi,chemi,,,,chemi
chemic,chemic,,,,chemic
chemistri,,chemistri,"['chemist', 'ri']",chemist ri,chemist ri
chen,chen,,,,chen
cherenkov,,cherenkov,['cherenkov'],cherenkov,cherenkov
chernov,,chernov,['chernov'],chernov,chernov
chesterfield,,chesterfield,"['chester', 'field']",chester field,chester field
chf,chf,,,,chf
chicago,,chicago,"['chic', 'ago', 'chica', 'go']",chic ago chica go,chic ago chica go
chief,chief,,,,chief
chiefli,,chiefli,"['chief', 'li']",chief li,chief li
child,child,,,,child
chimbot,,chimbot,['chimbot'],chimbot,chimbot
chimnei,,chimnei,['chimnei'],chimnei,chimnei
chines,chines,,,,chines
chiver,chiver,,,,chiver
chladni,,chladni,['chladni'],chladni,chladni
chlorid,,chlorid,['chlorid'],chlorid,chlorid
chlorin,,chlorin,['chlorin'],chlorin,chlorin
chlorobenzen,,chlorobenzen,['chlorobenzen'],chlorobenzen,chlorobenzen
chloroethan,,chloroethan,['chloroethan'],chloroethan,chloroethan
choic,choic,,,,choic
choke,choke,,,,choke
choos,choos,,,,choos
chop,chop,,,,chop
chopper,,chopper,"['c', 'hopper', 'chop', 'per']",c hopper chop per,c hopper chop per
chord,chord,,,,chord
choru,choru,,,,choru
chosen,chosen,,,,chosen
christchurch,,christchurch,"['christ', 'church']",christ church,christ church
christiansen,,christiansen,"['christian', 'sen', 'christians', 'en']",christian sen christians en,christian sen christians en
christoffel,,christoffel,['christoffel'],christoffel,christoffel
chromat,,chromat,"['chroma', 't']",chroma t,chroma t
chrome,chrome,,,,chrome
chromel,,chromel,"['chrome', 'l']",chrome l,chrome l
chromicyanid,,chromicyanid,['chromicyanid'],chromicyanid,chromicyanid
chromium,,chromium,['chromium'],chromium,chromium
chromospher,,chromospher,['chromospher'],chromospher,chromospher
chronograph,,chronograph,['chronograph'],chronograph,chronograph
chronolog,,chronolog,['chronolog'],chronolog,chronolog
chu,chu,,,,chu
chubb,chubb,,,,chubb
churchil,,churchil,"['church', 'il']",church il,church il
ci,ci,,,,ci
cinema,cinema,,,,cinema
circl,circl,,,,circl
circuit,,circuit,['circuit'],circuit,circuit
circuitri,,circuitri,"['circuit', 'ri']",circuit ri,circuit ri
circul,circul,,,,circul
circular,,circular,['circular'],circular,circular
circularli,,circularli,"['circular', 'li']",circular li,circular li
circumfer,,circumfer,['circumfer'],circumfer,circumfer
circumferenti,,circumferenti,['circumferenti'],circumferenti,circumferenti
circumpolar,,circumpolar,['circumpolar'],circumpolar,circumpolar
circumscrib,,circumscrib,['circumscrib'],circumscrib,circumscrib
circumst,,circumst,['circumst'],circumst,circumst
cirru,cirru,,,,cirru
cislunar,,cislunar,['cislunar'],cislunar,cislunar
cite,cite,,,,cite
ck,ck,,,,ck
cl,cl,,,,cl
cla,cla,,,,cla
clad,clad,,,,clad
clai,clai,,,,clai
clamp,clamp,,,,clamp
clapp,clapp,,,,clapp
clare,clare,,,,clare
clarif,clarif,,,,clarif
clarifi,,clarifi,['clarifi'],clarifi,clarifi
clariti,,clariti,['clariti'],clariti,clariti
class,class,,,,class
classic,,classic,['classic'],classic,classic
classica,,classica,"['classic', 'a']",classic a,classic a
classif,,classif,"['class', 'if']",class if,class if
classifi,,classifi,['classifi'],classifi,classifi
clean,clean,,,,clean
cleanli,,cleanli,"['clean', 'li']",clean li,clean li
clear,clear,,,,clear
clearest,,clearest,"['clear', 'est']",clear est,clear est
clearli,,clearli,"['clear', 'li']",clear li,clear li
cleft,cleft,,,,cleft
clegg,clegg,,,,clegg
cleland,,cleland,['cleland'],cleland,cleland
clemmow,,clemmow,"['clem', 'mow']",clem mow,clem mow
cleric,cleric,,,,cleric
clf,clf,,,,clf
clickless,,clickless,"['click', 'less']",click less,click less
climat,climat,,,,climat
climatolog,,climatolog,['climatolog'],climatolog,climatolog
clip,clip,,,,clip
clipper,,clipper,"['clip', 'per']",clip per,clip per
clock,clock,,,,clock
clockwis,,clockwis,"['clock', 'wis']",clock wis,clock wis
close,close,,,,close
closer,closer,,,,closer
closs,closs,,,,closs
cloth,cloth,,,,cloth
cloud,cloud,,,,cloud
cluster,,cluster,"['c', 'luster']",c luster,c luster
clutch,clutch,,,,clutch
cm,cm,,,,cm
cn,cn,,,,cn
co,co,,,,co
coast,coast,,,,coast
coastal,,coastal,"['coast', 'al']",coast al,coast al
coat,coat,,,,coat
coaxial,,coaxial,"['co', 'axial']",co axial,co axial
cobalt,cobalt,,,,cobalt
cocci,cocci,,,,cocci
cockcroft,,cockcroft,"['cock', 'croft']",cock croft,cock croft
code,code,,,,code
coe,coe,,,,coe
coeffici,,coeffici,['coeffici'],coeffici,coeffici
coeficci,,coeficci,['coeficci'],coeficci,coeficci
coerciv,,coerciv,['coerciv'],coerciv,coerciv
coexist,,coexist,"['co', 'exist']",co exist,co exist
cohen,cohen,,,,cohen
coher,coher,,,,coher
cohes,cohes,,,,cohes
cohn,cohn,,,,cohn
coil,coil,,,,coil
coin,coin,,,,coin
coincid,,coincid,"['coin', 'cid']",coin cid,coin cid
colaba,colaba,,,,colaba
colarado,,colarado,['colarado'],colarado,colarado
cold,cold,,,,cold
coleman,,coleman,"['co', 'leman', 'cole', 'man']",co leman cole man,co leman cole man
colim,colim,,,,colim
colin,colin,,,,colin
collabor,,collabor,"['col', 'labor']",col labor,col labor
collaps,,collaps,"['col', 'laps']",col laps,col laps
collect,,collect,['collect'],collect,collect
collector,,collector,"['col', 'lector', 'collect', 'or']",col lector collect or,col lector collect or
colleg,colleg,,,,colleg
colli,colli,,,,colli
collid,collid,,,,collid
collim,collim,,,,collim
collinear,,collinear,"['col', 'linear']",col linear,col linear
collis,collis,,,,collis
collision,,collision,['collision'],collision,collision
collisionless,,collisionless,"['collision', 'less']",collision less,collision less
colloid,,colloid,['colloid'],colloid,colloid
colloquium,,colloquium,['colloquium'],colloquium,colloquium
collrvyiv,,collrvyiv,['collrvyiv'],collrvyiv,collrvyiv
colombu,,colombu,"['col', 'ombu']",col ombu,col ombu
color,color,,,,color
colorado,,colorado,"['color', 'ado']",color ado,color ado
colorimet,,colorimet,['colorimet'],colorimet,colorimet
colour,colour,,,,colour
colpitt,,colpitt,"['col', 'pitt']",col pitt,col pitt
coltag,coltag,,,,coltag
columbium,,columbium,['columbium'],columbium,columbium
columbu,,columbu,['columbu'],columbu,columbu
column,column,,,,column
columnar,,columnar,"['column', 'ar']",column ar,column ar
com,com,,,,com
coma,coma,,,,coma
comb,comb,,,,comb
combin,combin,,,,combin
combinatif,,combinatif,['combinatif'],combinatif,combinatif
combust,,combust,"['com', 'bust']",com bust,com bust
come,come,,,,come
comet,comet,,,,comet
cometari,,cometari,['cometari'],cometari,cometari
command,,command,"['com', 'mand']",com mand,com mand
commemor,,commemor,"['comme', 'mor']",comme mor,comme mor
commenc,,commenc,['commenc'],commenc,commenc
comment,,comment,"['com', 'ment']",com ment,com ment
commerc,,commerc,['commerc'],commerc,commerc
commerci,,commerci,"['com', 'merci']",com merci,com merci
commet,commet,,,,commet
commiss,,commiss,"['com', 'miss', 'commis', 's']",com miss commis s,com miss commis s
committe,,committe,"['commit', 'te']",commit te,commit te
commmon,,commmon,['commmon'],commmon,commmon
common,common,,,,common
commonli,,commonli,"['common', 'li']",common li,common li
commun,commun,,,,commun
commut,commut,,,,commut
compact,,compact,"['com', 'pact', 'comp', 'act']",com pact comp act,com pact comp act
compagni,,compagni,['compagni'],compagni,compagni
compani,,compani,"['comp', 'ani']",comp ani,comp ani
companion,,companion,"['comp', 'anion']",comp anion,comp anion
compar,compar,,,,compar
comparison,,comparison,"['com', 'parison']",com parison,com parison
compass,,compass,"['com', 'pass', 'comp', 'ass']",com pass comp ass,com pass comp ass
compat,compat,,,,compat
compen,compen,,,,compen
compens,,compens,"['com', 'pens', 'comp', 'ens']",com pens comp ens,com pens comp ens
competit,,competit,"['com', 'petit']",com petit,com petit
compil,compil,,,,compil
complelt,,complelt,['complelt'],complelt,complelt
complement,,complement,['complement'],complement,complement
complementari,,complementari,['complementari'],complementari,complementari
complet,,complet,"['comp', 'let']",comp let,comp let
complex,,complex,"['comp', 'lex']",comp lex,comp lex
complic,,complic,['complic'],complic,complic
compon,compon,,,,compon
compos,compos,,,,compos
composit,,composit,"['com', 'posit', 'compo', 'sit', 'compos', 'it']",com posit compo sit compos it,com posit compo sit compos it
compound,,compound,"['com', 'pound', 'compo', 'und']",com pound compo und,com pound compo und
comprehens,,comprehens,['comprehens'],comprehens,comprehens
compress,,compress,"['com', 'press']",com press,com press
compression,,compression,"['com', 'pression', 'compress', 'ion']",com pression compress ion,com pression compress ion
compressor,,compressor,"['com', 'pressor', 'compress', 'or']",com pressor compress or,com pressor compress or
compris,,compris,"['com', 'pris']",com pris,com pris
comprison,,comprison,"['com', 'prison']",com prison,com prison
compromis,,compromis,['compromis'],compromis,compromis
compter,,compter,"['compt', 'er', 'compte', 'r']",compt er compte r,compt er compte r
compu,compu,,,,compu
comput,comput,,,,comput
